編號,寄送日期,農場主人,蜂箱數量,地址,設施面積(分),栽種作物
6,7月22日,王XX,9,高雄市苓雅區中正二路148號,7.2,哈密瓜
19,7月26日,黃XX,8,高雄市前鎮區民權二路123號,8.2,哈密瓜
23,7月19日,蔡XX,9,高雄市前金區中山二路123號,9.3,哈密瓜
27,7月20日,李XX,10,新竹縣竹北市光明南路123號,3.2,哈密瓜
33,8月12日,陳XX,1,台北市大同區民生西路123號,3.9,哈密瓜
40,7月15日,陳XX,7,新竹市東區中正路123號,9.2,哈密瓜
48,7月29日,陳XX,7,新竹縣竹北市光明六路123號,6.2,哈密瓜
57,7月5日,吳XX,1,高雄市苓雅區中山二路123號,6.8,哈密瓜
60,7月8日,蔡XX,3,新竹市北區大學路123號,7.6,哈密瓜
67,7月20日,陳XX,1,台北市信義區松山路123號,6.2,哈密瓜
75,8月14日,陳XX,7,新竹市東區中華路123號,6.6,哈密瓜
88,7月30日,陳XX,4,新竹市北區大學路123號,9.5,哈密瓜
95,7月6日,陳XX,4,台北市信義區松高路123號,5.9,哈密瓜
104,7月28日,林XX,2,台北市信義區松高路123號,7.3,哈密瓜
107,8月10日,林XX,10,高雄市前金區中山二路123號,7.6,哈密瓜
114,7月23日,李XX,9,高雄市三民區立德路123號,6.4,哈密瓜
118,7月5日,陳XX,1,新北市板橋區中山路123號,8.3,哈密瓜
124,8月18日,陳XX,8,台中市南區大慶街123號,8.1,哈密瓜
127,7月5日,林XX,2,台中市北區一中街123號,7.9,哈密瓜
133,7月1日,陳XX,9,台北市信義區松高路123號,7.1,哈密瓜
139,8月12日,王XX,1,新北市板橋區中山路123號,9.6,哈密瓜
147,8月3日,林XX,8,高雄市三民區立德路123號,7.8,哈密瓜
150,8月22日,陳XX,10,台北市信義區松高路123號,4.9,哈密瓜
152,7月31日,陳XX,9,新北市三峽區大埔路123號,5.2,哈密瓜
155,7月27日,陳XX,8,桃園市桃園區中山路123號,6.8,哈密瓜
159,7月16日,蔡XX,10,新竹市東區經國路123號,6.4,哈密瓜
167,7月10日,陳XX,1,高雄市三民區立德路123號,6.1,哈密瓜
